tweet_id,dog_rating,rating_denominator,name,year,month,day,hour,dog_stage,source,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,category
892420643555336193,13,10,Phineas,2017,8,1,16,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,37517,8186,"AxesSubplot(0.125,0.125;0.775x0.755)"
892177421306343426,13,10,Tilly,2017,8,1,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,32251,6056,"AxesSubplot(0.125,0.125;0.775x0.755)"
891815181378084864,12,10,Archie,2017,7,31,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,24296,4005,"AxesSubplot(0.125,0.125;0.775x0.755)"
891689557279858688,13,10,Darla,2017,7,30,15,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,40858,8335,"AxesSubplot(0.125,0.125;0.775x0.755)"
891327558926688256,12,10,Franklin,2017,7,29,16,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,39059,9033,"AxesSubplot(0.125,0.125;0.775x0.755)"
891087950875897856,13,10,None,2017,7,29,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,19634,3000,"AxesSubplot(0.125,0.125;0.775x0.755)"
890971913173991426,13,10,Jax,2017,7,28,16,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,11474,1984,"AxesSubplot(0.125,0.125;0.775x0.755)"
890729181411237888,13,10,None,2017,7,28,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,63299,18178,"AxesSubplot(0.125,0.125;0.775x0.755)"
890609185150312448,13,10,Zoey,2017,7,27,16,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,27011,4119,"AxesSubplot(0.125,0.125;0.775x0.755)"
890240255349198849,14,10,Cassie,2017,7,26,15,doggo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,30932,7108,"AxesSubplot(0.125,0.125;0.775x0.755)"
890006608113172480,13,10,Koda,2017,7,26,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,29761,7067,"AxesSubplot(0.125,0.125;0.775x0.755)"
889880896479866881,13,10,Bruno,2017,7,25,16,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,26992,4801,"AxesSubplot(0.125,0.125;0.775x0.755)"
889665388333682689,13,10,None,2017,7,25,1,puppo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,46647,9673,"AxesSubplot(0.125,0.125;0.775x0.755)"
889638837579907072,12,10,Ted,2017,7,25,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,26286,4372,"AxesSubplot(0.125,0.125;0.775x0.755)"
889531135344209921,13,10,Stuart,2017,7,24,17,puppo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,14660,2172,"AxesSubplot(0.125,0.125;0.775x0.755)"
889278841981685760,13,10,Oliver,2017,7,24,0,None ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True,24491,5190,"AxesSubplot(0.125,0.125;0.775x0.755)"
